tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_reunion,extra2_inscripcion,extra3_socios,lat,lon
Centro de jubilados,,,CLUB DE ABUELOS NTRA SRA DE CAACUPE,CAPITAL FEDERAL,,,CAP FEDERAL,"RIVADAVIA,AV 4879, CAP FEDERAL, CAPITAL FEDERAL, Argentina","RIVADAVIA,AV 4879",1424,,,1994-01-12,59,,
Centro de jubilados,,,C JYP PERITO MORENO,CAPITAL FEDERAL,,,CAP FEDERAL,"PASCO 1358, CAP FEDERAL, CAPITAL FEDERAL, Argentina",PASCO 1358,1247,,,1994-04-04,300,,
Centro de jubilados,,,C DE LA 3ø EDAD UNA PROPUESTA JOVEN,CAPITAL FEDERAL,,,CAP FEDERAL,"FRAY CAYETANO RODRIG 670, CAP FEDERAL, CAPITAL FEDERAL, Argentina",FRAY CAYETANO RODRIG 670,1406,,,1994-04-19,56,,
Centro de jubilados,,,C JYP 26 DE OCTUBRE,CAPITAL FEDERAL,,,CAP FEDERAL,"SAN JUAN 1386, CAP FEDERAL, CAPITAL FEDERAL, Argentina",SAN JUAN 1386,1073,,,1994-04-26,385,,
Centro de jubilados,,,C JYP SAN CONO,CAPITAL FEDERAL,,,CAP FEDERAL,"11 DE SETIEMBRE 2274, CAP FEDERAL, CAPITAL FEDERAL, Argentina",11 DE SETIEMBRE 2274,1428,,,1994-04-26,403,,
Centro de jubilados,,,C JYP PLAZA SOLIS,CAPITAL FEDERAL,,,CAP FEDERAL,"SUAREZ 113, CAP FEDERAL, CAPITAL FEDERAL, Argentina",SUAREZ 113,1162,,,1994-04-27,37,,
Centro de jubilados,,,C JYP LOS ALBOS,CAPITAL FEDERAL,,,CAP FEDERAL,"BAHIA BLANCA 1980, CAP FEDERAL, CAPITAL FEDERAL, Argentina",BAHIA BLANCA 1980,1407,,,1994-05-11,0,,
Centro de jubilados,,,C JYP DEL ONCE,CAPITAL FEDERAL,,,CAP FEDERAL,"MORENO 2575, CAP FEDERAL, CAPITAL FEDERAL, Argentina",MORENO 2575,1094,,,1994-05-10,20,,
Centro de jubilados,,,CLUB DE LA 3ERA EDAD Y LA FAMILIA LA CASA DE TODOS,CAPITAL FEDERAL,,,CAP FEDERAL,,,1191,,,1994-06-13,163,,
Centro de jubilados,,,C JYP MI REFUGIO,CAPITAL FEDERAL,,,CAP FEDERAL,"ARAUJO 3309, CAP FEDERAL, CAPITAL FEDERAL, Argentina",ARAUJO 3309,1439,,,1994-06-27,50,,
Centro de jubilados,,,C JYP HOMERO MANZI,CAPITAL FEDERAL,,,CAP FEDERAL,"LAMARCA,EMILIO 1509, CAP FEDERAL, CAPITAL FEDERAL, Argentina","LAMARCA,EMILIO 1509",1407,,,1994-07-08,43,,
Centro de jubilados,,,C JYP COMPA¥EROS UNIDOS,CAPITAL FEDERAL,,,CAP FEDERAL,"CHICLANA 3088, CAP FEDERAL, CAPITAL FEDERAL, Argentina",CHICLANA 3088,1259,,,1994-07-13,125,,
Centro de jubilados,,,C JYP APEJURA FILIAL BALVANERA SUR,CAPITAL FEDERAL,,,CAP FEDERAL,"ALBERTI 329, CAP FEDERAL, CAPITAL FEDERAL, Argentina",ALBERTI 329,1082,,,1994-10-26,60,,
Centro de jubilados,,,C INTERNACIONAL DE JYP REP ITALIANA,CAPITAL FEDERAL,,,CAP FEDERAL,"AV EVA PERàN 2316, CAP FEDERAL, CAPITAL FEDERAL, Argentina",AV EVA PERàN 2316,1406,,,1995-04-06,30,,
Centro de jubilados,,,ASOC CIVIL JYP DE LA MARINA MERCANTE,CAPITAL FEDERAL,,,CAP FEDERAL,"AV INDEPENDENCIA 2666, CAP FEDERAL, CAPITAL FEDERAL, Argentina",AV INDEPENDENCIA 2666,1225,,,1995-04-06,31,,
Centro de jubilados,,,C DE MENORES CRECIENDO JUNTOS,CAPITAL FEDERAL,,,CAP FEDERAL,"DEL CARRIL S.MARÖA 2956, CAP FEDERAL, CAPITAL FEDERAL, Argentina",DEL CARRIL S.MARÖA 2956,1419,,,1995-05-09,91,,
Centro de jubilados,,,C JYP NUESTRO RINCON,CAPITAL FEDERAL,,,CAP FEDERAL,"SANABRIA 2955, CAP FEDERAL, CAPITAL FEDERAL, Argentina",SANABRIA 2955,1417,,,1995-10-30,57,,
Centro de jubilados,,,C JYP VIDA Y ESPERANZA,CAPITAL FEDERAL,,,CAP FEDERAL,"THAMES 536, CAP FEDERAL, CAPITAL FEDERAL, Argentina",THAMES 536,1414,,,1995-10-31,284,,
Centro de jubilados,,,C JYP LA PE¥A,CAPITAL FEDERAL,,,CAP FEDERAL,"TRONADOR 4410, CAP FEDERAL, CAPITAL FEDERAL, Argentina",TRONADOR 4410,1430,,,1995-10-31,75,,
Centro de jubilados,,,C JYP JUVENTUD ETERNA,CAPITAL FEDERAL,,,CAP FEDERAL,"MU¥ECAS 912, CAP FEDERAL, CAPITAL FEDERAL, Argentina",MU¥ECAS 912,1414,,,1995-10-31,61,,
Centro de jubilados,,,C JYP 25 DE MAYO,CAPITAL FEDERAL,,,CAP FEDERAL,"ENTRE RIOS 260, CAP FEDERAL, CAPITAL FEDERAL, Argentina",ENTRE RIOS 260,1133,,,1995-11-01,92,,
Centro de jubilados,,,"C JYP TIERRA, TECHO Y TRABAJO",CAPITAL FEDERAL,,,CAP FEDERAL,"DIRECTORIO AV. 3001, CAP FEDERAL, CAPITAL FEDERAL, Argentina",DIRECTORIO AV. 3001,1406,,,1995-11-08,47,,
Centro de jubilados,,,C JYP LOS AMIGOS,CAPITAL FEDERAL,,,CAP FEDERAL,"RODRIGUEZ,GRAL MANUE 1816, CAP FEDERAL, CAPITAL FEDERAL, Argentina","RODRIGUEZ,GRAL MANUE 1816",1416,,,1995-12-19,40,,
Centro de jubilados,,,ASOC CIVIL CONSEJERÖA DEL JUB,CAPITAL FEDERAL,,,CAP FEDERAL,"LAUTARO 659, CAP FEDERAL, CAPITAL FEDERAL, Argentina",LAUTARO 659,1406,,,1996-02-13,31,,
Centro de jubilados,,,C JYP CONVIVENCIA DE VILLA REAL,CAPITAL FEDERAL,,,CAP FEDERAL,"GRAL PAZ,AV 8468, CAP FEDERAL, CAPITAL FEDERAL, Argentina","GRAL PAZ,AV 8468",1419,,,1996-02-13,50,,
Centro de jubilados,,,LA COSECHA ASOCIACION CIVIL,CAPITAL FEDERAL,,,CAP FEDERAL,"SALGUERO JERàNIMO 757, CAP FEDERAL, CAPITAL FEDERAL, Argentina",SALGUERO JERàNIMO 757,1177,,,1997-04-03,22,,
Centro de jubilados,,,C JYP LOS AMIGOS DE RECOLETA,CAPITAL FEDERAL,,,CAP FEDERAL,"LAPRIDA 1289, CAP FEDERAL, CAPITAL FEDERAL, Argentina",LAPRIDA 1289,1425,,,1997-04-14,74,,
Centro de jubilados,,,C JYP TITO SPINAZZOLA,CAPITAL FEDERAL,,,CAP FEDERAL,"JUAN DE GARAY 3364, CAP FEDERAL, CAPITAL FEDERAL, Argentina",JUAN DE GARAY 3364,1256,,,1997-10-06,528,,
Centro de jubilados,,,C JYP ESPERANZA,CAPITAL FEDERAL,,,CAP. FEDERAL,"IRIARTE 3490, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",IRIARTE 3490,1437,,,1997-10-14,41,,
Centro de jubilados,,,"FED ASOC C JPR DE LA CIUDAD DE BS. AS. ""ACCION SOLIDARIA""",CAPITAL FEDERAL,,,CAP. FEDERAL,"SARANDI 1409, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",SARANDI 1409,1251,,,1998-01-06,20,,
Centro de jubilados,,,C JYP CARLOS A MORA,CAPITAL FEDERAL,,,CAP. FEDERAL,"DEFENSA 680, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",DEFENSA 680,1065,,,1998-06-24,48,,
Centro de jubilados,,,C JYP JACARANDA,CAPITAL FEDERAL,,,CAP. FEDERAL,"VENEZUELA 2943, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",VENEZUELA 2943,1211,,DOMINGO DE 17 A 21 HS.,1999-04-21,75,,
