cod_agencia;cod_ugl;desc_agencia;direccion_agencia;x;y;es_ugl
190.051;19;AGENCIA SELVA;RIVADAVIA ESQUINA ITALIA 202 ;-62,0500000000;-29,7833330000;0
190.052;19;AGENCIA BANDERA;RIVADAVIA ENTRE CALLE MORENO Y SARMIENTO S/N ;-62,2666670000;-28,8833330000;0
190.053;19;AGENCIA PINTO;SARMIENTO  402 ;-62,6500000000;-29,1333330000;0
190.054;19;AGENCIA SUNCHO CORRAL;CALLE 9 DE JULIO ENTRE CALLE BELGRANO Y MITRE S/N ;-63,4333330000;-27,9333330000;0
190.055;19;AGENCIA VILLA ATAMISQUI;LA RIOJA ENTRE CALLE SAN MARTIN Y ALVARADO NULL ;-63,8166670000;-28,4833330000;0
190.056;19;AGENCIA MONTE QUEMADO;SAN MARTIN 724 ;-62,8833330000;-25,8000000000;0
190.057;19;AGENCIA CAMPO GALLO;IRIGOYEN  E/RIVADAVIA Y LAVALLE B° CENTRO S/N ;-62,8666670000;-26,5833330000;0
190.058;19;AGENCIA TINTINA;SAN JUAN S/Nº ;-62,7000000000;-27,0333330000;0
190.059;19;AGENCIA POZO HONDO;25 DE MAYO E/PERON E IRIGOYEN . ;-64,5000000000;-27,1666670000;0
190.060;19;AGENCIA NUEVA ESPERANZA;. . ;-64,2666670000;-26,2000000000;0
190.061;19;AGENCIA SAN PEDRO DE GUASATAN;MAIPU  46 ;-65,1654550000;-27,9543780000;0
190.062;19;AGENCIA LOS JURIES;TUCUMAN SN B° ;-62,1166670000;-28,4666670000;0
190.063;19;AGENCIA PAMPA DE LOS GUANACOS;BELGRANO ESQ. SALTA BARRIO PRO-VI-RU S/N ;-61,8374560000;-26,2293750000;0
190.064;19;AGENCIA LA CAÑADA;INDEPENDENCIA 128 ;0,0000000000;0,0000000000;0
190.065;19;AGENCIA SUMAMPA;9 de julio 143 ;-63,4833330000;-29,3666670000;0
190.066;19;AGENCIA BANDERA BAJADA;AVDA BELGRANO 150 ;0,0000000000;0,0000000000;0
190.067;19;AGENCIA BREA POZO;25 DE MAYO y JUAN D PERON . ;0,0000000000;0,0000000000;0
190.068;19;AGENCIA LAVALLE;RIVADAVIA 290 ;0,0000000000;0,0000000000;0
190.069;19;AGENCIA COLONIA DORA;CORRIENTES ENTRE CALLE MITRE Y SUISPACHA S/N ;-62,9471180000;-28,5985390000;0
190.070;19;AGENCIA BELTRAN;JUAN XXIII  ENTRE AV. SAN MARTIN Y URIARTE S/N ;-64,0612010000;-27,8277290000;0
190.071;19;AGENCIA LOS TELARES;SAN MARTIN S/Nº ;0,0000000000;0,0000000000;0
200.000;20;UGL XX - LA PAMPA;AV. SAN MARTIN OESTE 106 ;-64,2990933500;-36,6245785100;1
200.001;20;AGENCIA GRAL PICO;CALLE 13 268 ;-63,7575300000;-35,6611300000;0
200.002;20;AGENCIA GRAL ACHA;GRAL.CAMPOS 532 ;-64,5999200000;-37,3761300000;0
200.003;20;AGENCIA REALICO;AV. MULLALLY 1714 ;-64,2461700000;-35,0378700000;0
200.050;20;AGENCIA MACACHIN;SARMIENTO 314 ;-63,6675900000;-37,1376700000;0
200.051;20;AGENCIA GENERAL SAN MARTIN;JUAN ADAGAS 120 ;-63,6022900000;-37,9795200000;0
200.052;20;AGENCIA GUATRACHE;AV. ZEBALLOS 496 ;-63,5415400000;-37,6686700000;0
200.053;20;AGENCIA QUEMU-QUEMU;MITRE 567 ;-63,5667500000;-36,0543700000;0
200.054;20;AGENCIA COLONIA BARON;DON BOSCO 1141 ;-63,8522100000;-36,1529800000;0
200.055;20;AGENCIA CATRILO;AV.VIAL 373 ;-63,4197900000;-36,4078100000;0
200.056;20;AGENCIA EDUARDO CASTEX;SARMIENTO 771 ;-64,2943200000;-35,9154400000;0
200.057;20;AGENCIA VICTORICA;CALLE 16 705 ;-65,4362100000;-36,2163700000;0
200.058;20;AGENCIA INTENDENTE ALVEAR;AVDA SAN MARTIN 156 ;-63,5914200000;-35,2362600000;0
200.059;20;AGENCIA INGENIERO LUGGI;TUCUMAN 612 ;-64,4672200000;-35,3863900000;0
200.060;20;AGENCIA COLONIA 25 DE MAYO;TOAY 214 ;-67,7144600000;-37,7744100000;0
210.000;21;UGL XXI - SAN JUAN;AVDA CORDOBA ESTE 5;-68,5253831429;-31,5404077347;1
210.001;21;AGENCIA CAUCETE;RAWSON 767 ;-68,3166670000;-31,7440800000;0
210.002;21;AGENCIA JACHAL;AV CASEROS ESQ. LAPRIDA 265 ;-68,6833000000;-30,2000000000;0
210.003;21;AGENCIA RAWSON;BOULEVARD SARMIENTO OESTE 17 ;-68,5355891224;-31,5845065714;0
210.050;21;AGENCIA VILLA MEDIA AGUA;JOSE AREZ, ENTRE CALLES RIVADAVIA Y BARBOZA 70 ;-68,4000000000;-31,9833330000;0
210.051;21;AGENCIA BARREAL;CORDILLERA DE ANSILTA ESQ. SOLER S/N ;-69,4666670000;-31,6333330000;0
210.052;21;AGENCIA VALLE FERTIL;GENERAL ACHA NORTE 82 ;-67,4615680000;-30,6333330000;0
210.053;21;AGENCIA 9 DE JULIO;DIAGONAL SAN MARTIN S/N ;-68,3925660000;-31,6689570000;0
210.054;21;AGENCIA CHIMBAS;YAPEYU NORTE 1682 ;-68,5408860000;-31,5027947143;0
210.055;21;AGENCIA VILLA SANTA ROSA;RUTA NRO. 270, ENTRE CALLES 4 y 5 S/N ;-68,3205610000;-31,8166670000;0
210.056;21;AGENCIA POCITO;R. VIDART Y STA. Mº DE ORO 1073 ;-68,5805580000;-31,6557160000;0
220.000;22;UGL XXII - JUJUY;LAVALLE 376 ;-65,3013835100;-24,1853682400;1
220.001;22;AGENCIA LA QUIACA;BALCARCE 156 ;-65,5986000000;-22,1057600000;0
220.002;22;AGENCIA SAN PEDRO;GOBERNADOR TELLO 133 ;-64,8688600000;-24,2296100000;0
220.003;22;AGENCIA HUMAHUACA;BUENOS AIRES ESQ.SAN JUAN 96 ;-65,3482900000;-23,2064400000;0
220.004;22;AGENCIA LIBERTADOR GRAL SAN MARTIN;AVDA. LIBERTAD 592 ;-64,7929000000;-23,8182500000;0
220.005;22;AGENCIA PALPALA;AVDA. RIO DE LA PLATA 383 ;-65,2132000000;-24,2570600000;0
220.050;22;AGENCIA PERICO;MARIANO MORENO ESQ. LAVALLE 199 ;-65,1182700000;-24,3750100000;0
220.051;22;AGENCIA EL CARMEN;AV.EJERCITO DEL NORTE 386 ;-64,8833330000;-24,5833330000;0
220.052;22;AGENCIA TILCARA;JUJUY 551 ;-65,3941500000;-23,5775600000;0
