nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
C JYP DE CHILECITO;MAXIMO MARTINEZ;296;CHILECITO;CHILECITO;12;5360;25;1;LU A VI 9/12 Y 17/20;23-mar-93;451;09-nov-12;;07-jun-93;28-Aug-12;27-Aug-14
P.U.V.S.I. - POR UNA VEJEZ SIN INDIGENCIA;EL ENCUENTRO;142;CHILECITO;CHILECITO;12;5360;25;1;S/ DATO;19-oct-09;27;14-nov-11;;07-jul-11;19-oct-09;19-oct-14
CLUB DE ABUELOS CHILECITEÑOS;PRINCIPAL;S/N;CHILECITO;CHILECITO;12;5360;25;5;S/ DATO;10-mar-86;101;10-Aug-12;;10-Aug-12;18-Dec-10;18-Dec-12
C JYP SAN VICENTE;JOAQUIN V GONZALEZ;S/Nº;NONOGASTA;CHILECITO;12;5372;25;1;LU A VIE 8/12 18/20 HS;02-Dec-94;305;18-jun-12;;25-Aug-97;26-may-12;25-may-16
CTRO. DE JYP SAN SEBASTIAN;NICOLASA PERAFAN;S/N;SAÑOGASTA;CHILECITO;12;5367;25;5;S/ DATO;06-jul-07;83;25-jun-12;;25-jun-12;31-may-12;30-may-14
CENTRO DE JYP DE VICHIGASTA;AVDA. SAN BUENAVENTURA;S/N;VICHIGASTA;CHILECITO;12;5374;25;2;L A V 9/12;28-jul-94;78;23-Apr-12;;15-oct-08;18-Dec-11;18-Dec-13
C JYP DE CAMPANAS;RUTA NACIONAL 40;;CAMPANAS;FAMATINA;12;5361;25;1;lu a vi 8/12;12-Dec-94;51;26-jun-12;;26-jul-96;19-may-12;18-may-14
C DE JYP DE LA LOCALIDAD DE FAMATINA;FACUNDO QUIROGA;S/N;FAMATINA;FAMATINA;12;5365;25;2;LUN. A VIE.9/12-16/19 HS.;17-mar-93;151;09-Aug-13;;17-jun-93;31-may-13;31-may-15
C JYP SANTO DOMINGO DE PITUIL;SANTO DOMINGO;S/Nº;PITUIL;FAMATINA;12;5361;25;5;LU-MI-VI DE 10 A 12 HS.-;18-sep-98;60;03-may-12;;13-Jan-99;16-Apr-12;16-Apr-14
C JYP SANTA CRUZ;EX RUTA NAC Nª 40;S/N;SANTA CRUZ;FAMATINA;12;5361;25;5; LU-MI Y VI 10/12 HS;20-sep-89;65;17-mar-11;;18-jun-93;16-mar-10;15-mar-13
