nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
C JYP DULCE ENCUENTRO;CONESA ;4854;CAP. FEDERAL;;1;1429;6;1;MAR, JUE, SABADO ;24-feb-99;80;02-oct-07;;21-may-99;10-mar-07;10-feb-09
C JYP EL PORVENIR DE SAN TELMO;CHACABUCO;1346;CAP. FEDERAL;;1;1240;6;1;LU A VI 16 A 18/30 HS;03-may-99;150;24-Aug-09;;21-may-99;10-jun-11;10-jun-13
C JYP EL FORTIN DE VILLA ORTUZAR;ESTOMBA ;294;CAP. FEDERAL;;1;1427;6;1;MARTES Y JUEVES 15 A 18;12-may-99;350;08-jul-13;;04-jun-99;16-may-13;11-Jan-14
C JYP LA NUEVA ESPERANZA DE LA BOCA;PUERTO DE PALOS ;761/7;CAP FEDERAL;;1;1166;6;5;LU A VI  15 A 20HS;05-Apr-99;200;29-Dec-11;;22-jun-99;01-Jan-12;31-Dec-13
C JYP PARTICIPAR;PARAGUAY;4534;CAP. FEDERAL;;1;1425;6;1;l a v 15/20;04-may-98;250;30-Aug-10;;24-jun-99;16-Aug-12;16-Aug-14
C JYP NUESTRA CASA;AV. TRIUNVIRATO;5537;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1408;6;5;LUN. A JUE. 9 A 20 HS.;04-Apr-98;100;10-Jan-13;;14-jul-99;03-Jan-13;31-Dec-14
C JYP SABER VIVIR;TEODORO GARCIA;3550;CAP. FEDERAL;;1;1427;6;5;LU A VI DE 9 A 12HS;01-mar-99;145;31-jul-12;;05-jul-99;10-feb-12;10-feb-14
CENTRO DE JYP NUESTRAS RAICES;ECHEANDIA;5025;CAPITAL FEDERAL;;1;1439;6;5;MAR VIE SAB 16 A;02-Apr-99;110;14-may-13;;13-jul-99;10-Apr-13;10-Apr-15
C JYP HORAS INOLVIDABLES;RAMON FALCON;2714;CAP. FED  (1406);TRANS. ESTAN EN LAFUENTE 426 ;1;1406;6;1;LUNES A VIERNES 9 A 21;15-jun-99;85;10-may-09;;29-jul-99;05-mar-09;05-mar-11
C JYP. SIEMPRE PRIMAVERA ASOC. CIVIL;BARTOLOME MITRE;3790;CAP. FEDERAL;;1;1405;6;9;LUA VI 17 A 21 HS;19-jul-99;50;13-sep-12;;04-Aug-99;12-jun-12;12-jun-14
C JYP ABUELOS UNIDOS;CORTINA;2789;CAP. FEDERAL;;1;1408;6;5;;12-Apr-99;100;11-oct-11;;05-Aug-99;13-sep-11;13-sep-13
C JYP JOVENES DEL TERCER MILENIO ASOC CIVIL;AV FOREST;455;CAP. FED.;;1;1427;6;1;L A V 15/18;08-jul-99;250;02-may-12;;10-Aug-99;27-mar-12;27-mar-14
C JYP YO SOY DEL TREINTA;CONESA ;4854;CAP. FEDERAL;;1;1429;6;5;MAR Y VIE 16/19 ;25-mar-99;70;29-mar-11;;12-Aug-99;22-mar-13;22-mar-15
PRIMER CTRO PARA JP Y ADULTOS MAYORES AVE FENIX;PINZON;546;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1161;6;1;LU. A VI 10 A 16 HS;05-feb-99;150;24-sep-09;;12-Aug-99;27-Aug-11;27-Aug-13
C JYP HERMANDAD ASOC CIVIL;AV. CRUZ;6380;CAPITAL  FEDERAL;;1;1439;6;1;LUN. A VIER. 10 A 21 HS.;03-jul-99;150;16-oct-12;;03-sep-99;17-feb-12;17-feb-14
C JYP PADRE FEDERICO GROTE;OLAVARRIA;1101;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1162;6;3;LUN. A VIE. 16 A18/30;02-jul-99;300;07-mar-12;;03-sep-99;19-Jan-12;19-Jan-14
C JYP EL REGRESO;AV. RIESTRA;1669;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1437;6;1;LU.MI.JU.VE.SAB. 14/20 HS;26-mar-99;120;21-Aug-12;;08-sep-99;15-jul-12;15-jul-14
CENTRO DE JYP GENTE FELIZ;COSQUIN;5001;CAPITAL FEDERAL;;1;1439;6;1;L A S 14 A 20 HS;15-oct-99;150;29-mar-12;;11-nov-99;18-sep-11;18-sep-13
C JYP LA NUEVA ESPERANZA DE BARRACAS;IRIARTE ;2638;CAPITAL FEDERAL;;1;1291;6;1;LU A VIE 15.30/19;23-sep-99;100;15-may-09;;29-nov-99;20-sep-10;20-sep-12
C JYP BAUTISTA CARUSO RUBIO;BAHIA BLANCA;1711;CAP. FEDERAL;;1;1416;6;5;;09-jul-99;50;31-Dec-02;;18-nov-99;25-nov-07;25-nov-09
C JYP MACACHA GUEMES;PARAGUAY;5451;CAP. FEDERAL;;1;1425;6;1; LU A JU 14 A 18 HS;08-nov-99;259;04-Dec-09;;30-nov-99;04-Dec-09;04-Dec-11
C JYP SAN FRANCISCO;JUFRE ;148;CAP. FEDERAL;;1;1414;6;5;LU Y VI DE 16 A 19hs;06-jul-98;30;21-nov-11;;30-nov-99;30-sep-10;29-sep-12
C JYP QUINTA DEL MOLINO;TABARE;3295;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1437;6;1; LUNES A VIERNES;07-may-99;100;27-sep-11;;30-nov-99;15-Aug-11;15-Aug-13
C JYP PRESIDENTE RIVADAVIA;CASTAÑARES Y BONORINO;642;CAP. FEDERAL;;1;1406;6;3;LU A VIE 10 /18;24-nov-98;100;13-jun-12;;01-Dec-99;09-Jan-12;09-Jan-14
C JYP LOS AÑOS DORADOS;SANTA CATALINA;1467;CAP. FEDERAL;;1;1437;6;1;;29-jul-98;90;10-Apr-12;;06-Dec-99;18-mar-12;18-mar-14
C JYP FLORECER EN OTOÑO;CACHI;255;CAPITAL FEDERAL;;1;1437;6;5;LU A VIM 8 A 19/30 HS;14-jun-99;200;16-jul-12;;05-Jan-00;11-jun-12;11-jun-14
C JYP NUESTRA ESPERANZA;DEL BARCO CENTENERA;1762;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1406;6;9;LUN. A VIE. 15 A 20 HS.;04-nov-98;237;08-Jan-13;;05-Jan-00;01-Aug-12;31-jul-14
C JYP SAN JOSE;MARTINIANO LEGUIZAMON;1252;CAPITAL FEDERAL;;1;1440;6;5;LU MAR JU 16/18.30;27-may-94;150;13-oct-06;;05-Jan-00;27-oct-10;27-oct-12
C JYP LUGANO JOVEN;ALBARIÑO ;3619;CAPITAL FEDERAL;;1;1439;6;1;;20-jun-99;173;09-Dec-10;;11-Jan-00;20-jul-10;20-jul-12
C JYP HIPOLITO YRIGOYEN;LA RIOJA ;704;CAPITAL FEDERAL;;1;1221;6;1;LU A VIE ;24-nov-88;800;07-Apr-11;;07-feb-00;07-Apr-11;07-Apr-13
PARLAMENTO FEDERATIVO DE LA 3° EDAD Y CTRO DE JUB DE LA CIUDAD BS AS;CHACABUCO ;937;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1069;6;1;;15-mar-94;150;21-Jan-09;;15-feb-00;11-nov-07;11-nov-09
C JYP RENACER;PLAZA ESTE;3517;CAPITAL FEDERAL;;1;1430;6;5;;08-may-99;90;29-jun-06;;16-feb-00;04-may-06;04-may-08
C JYP BUENOS PROPOSITOS;SANCHEZ DE LORIA ;642;CAPITAL FEDERAL;;1;1174;6;1;LU A VI 16.3 A 19 HS;12-Jan-00;220;20-mar-12;;06-Apr-00;12-Jan-12;12-Jan-15
C JYP MAGDALENA ZEPPA;SERRANO;590;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1414;6;1;LU A VI 11/12-17/20:30 HS;16-Apr-99;140;03-mar-09;;24-mar-00;06-feb-09;06-feb-11
BIENVENIDOS DE VILLA CRESPO;JUAN RAMIREZ DE VELAZCO;610;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1414;6;5;;24-feb-97;40;30-jul-09;;12-may-00;30-jul-09;30-jul-11
C JYP MOMENTOS FELICES;MARIANO ACOSTA;1544;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1439;6;5;LUN. MAR. JUE.16 A 20 HS.;05-Aug-99;215;10-Jan-13;;29-may-00;26-oct-12;26-oct-14
CENTRO DE JYP JUVENTUD DEL 40;ROSETI;1401;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1427;6;1;S / DATO;17-oct-98;161;04-mar-09;;14-Aug-00;18-oct-08;18-oct-10
CENTRO DE JUB. Y PENS. PLENO VIVIR;GUALEGUAYCHU ;2381;CAPITAL FEDERAL;;1;1417;6;0;LU A JUE 14 A 20;20-may-00;32;03-jun-13;;18-Aug-00;24-jul-12;24-jul-14
ASOCIACION CIVIL CENTRO DE JYP MENSAJEROS DE LA VIDA;TABARE;2042;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1437;6;0;LUN. A VI  11  A 20 HS.;01-Dec-98;220;02-may-12;;22-Aug-00;27-mar-12;27-mar-14
"CTRO. DE JYP ""AMISTAD Y LIBERTAD""";TERRADA;4243;CAPITAL FEDERAL;;1;1419;6;1;SABADOS;16-Apr-00;140;16-oct-12;SAAVEDRA;28-Aug-00;01-Apr-12;30-Apr-14
"CENTRO DE JUB. Y PENS."" SAN CARLOS SUD""";SANCHEZ DE LORIA ;472;CAPITAL FEDERAL;;1;1173;6;0;LU A VI 10/13 Y 16/21;22-Apr-00;130;27-may-08;;13-sep-00;05-may-08;05-may-10
"CENTRO SOL. Y CULTURAL DE JYP ""VOLVER""";SUPERI ;3055;CAP.FEDERAL;;1;1428;6;1;MI. VI. y  SA. 18 A 20 HS;09-oct-98;109;20-jun-12;;19-sep-00;20-jun-11;20-jun-13
CENTRO DE JYP DEL SUR;CATULO CASTILLO;3005;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1437;6;1;LUN. A VIE. 15 A 20 HS.;17-Aug-98;3;31-Aug-12;;26-sep-00;01-Aug-12;01-Aug-14
C. JYP ROSARIO VERA PEÑALOZA;PIEDRAS ;1228;CAPITAL FEDERAL;;1;1150;6;0;;20-Apr-99;80;20-Jan-09;;26-sep-00;02-feb-08;02-feb-10
CENTRO DE JYP CAÑADA DE GOMEZ;MART CHILAVERT;5819;CAPITAL FEDERAL;;1;1439;6;5;LU MIE VIE 14/18;25-Aug-00;200;03-sep-10;;29-sep-00;30-sep-10;30-sep-12
"CENTRO DE JYP ""NUEVA ERA""";HOLMBERG;2860;CAPITAL FEDERAL;;1;1430;6;5;LUNES A VIE 15/20;13-jun-99;100;13-jun-12;;03-oct-00;09-may-11;09-may-13
"CTRO DE JYP ""FUTURO MILENIO""";MENDOZA ;1760;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1428;6;0;LUN. A VIE. 16 A 20 HS.;20-jun-00;100;13-feb-09;;12-oct-00;29-jul-08;29-jul-10
"CENTRO DE JYP ""EL REENCUENTRO DE LOS AMIGOS""";IBERA;6085;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1431;6;0;LUN. A LUN. 8/13 15/21 HS;28-sep-99;1000;07-Jan-13;;24-oct-00;03-sep-12;03-sep-14
CENTRO DE JYP UN NUEVO HOGAR;PJE. PERRAULT ;1134;CAP.FED.;;1;1406;6;1;;01-sep-99;28;29-Dec-11;;08-nov-00;18-Aug-11;18-Aug-13
"CENTRO J.P. Y ADHERENTES ""EL FARO""";ITURRI;330;CAPITAL FEDERAL;;1;1427;6;0;;15-mar-00;85;12-may-08;;20-nov-00;09-feb-07;09-feb-09
"CENTRO DE JYP ""HOMERO MANZI""";GUAMINI ;4667;CAPITAL FEDERAL;;1;1439;6;1;LU A SAB 15 A 20 ;21-nov-00;250;20-Jan-09;;21-nov-00;23-oct-06;23-oct-09
"C DE JYP ""LA CASA DE LA ABUELA MARÍA""";MARIANO ACHA;3745;CAPITAL FEDERAL;;1;1430;6;5;10 A 21 HS DIARIAS;09-Aug-00;100;02-jul-07;;11-Dec-00;03-oct-06;03-oct-08
"CENTRO DE JYP ""CRECER EN SOLIDARIDAD""";QUIRNO ;7904;CAPITAL FEDERAL;;1;1406;6;1;LU A VI 16/20 HS;11-Dec-00;135;14-nov-13;;11-Dec-00;25-jul-13;25-jul-15
"CENTRO DE JYP ""POR AMOR A LA VIDA""";GUARDIA NACIONAL;1133;CAPITAL FEDERAL;;1;1440;6;0;LU A VI 17 A 21 HS;04-Jan-00;140;14-mar-08;;12-Jan-01;04-feb-06;04-feb-09
CENTRO DE JYP PASELO BIEN;RIVERA INDARTE;575;CAPITAL FEDERAL;;1;1424;6;0;LU A VI DE 9 A 20HS;06-nov-00;180;04-may-11;;26-Jan-01;28-feb-13;28-feb-15
CTRO DE JYP NUESTROS DERECHOS;GRITO DE ASENCIO;3183;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1437;6;1;LUN. A VIE.  15/20;10-jul-98;80;19-jun-10;;09-may-01;19-jun-10;19-jun-12
"CTRO. DE J.P. Y TERCERA EDAD ""RENACIMIENTO""";AV. DELLEPIANE SUR;4400;CAP.FED.;;1;1439;6;0;LU A SA 10/12 Y 17/20 HS;24-nov-00;200;20-Apr-11;;21-may-01;20-Apr-12;20-Apr-14
"CTRO. DE JYP ""MILENIO""";ALBERTI;223;CAPITAL FEDERAL;;1;1090;6;0;;20-jun-99;100;14-Jan-08;;21-may-01;27-Dec-07;27-Dec-09
"CTRO. DE JYP ""SAGRADO CORAZON""";AV SAN MARTIN;5125;CAPITAL FEDERAL;;1;1417;6;0;MAR A VIE DE 9 A 18,30;01-mar-01;150;30-Dec-11;;29-may-01;31-Dec-11;31-Dec-13
"CENTRO DE JYP ""LEOPOLDO MARECHAL""";JULIAN ALVAREZ ;534;CAPITAL FEDERAL;;1;1414;6;3;LUNES A SABADOS;06-sep-00;34;14-Jan-08;;30-may-01;09-Jan-08;09-Jan-10
"CTRO. DE JYP ""SIN RUMBO""";CERETTI;3524;CAPITAL FEDERAL;;1;1431;6;1;;16-jul-01;196;30-may-08;;16-Aug-01;16-Dec-11;16-Dec-13
"CTRO. DE JYP ""CENTRO DE CIEGOS DISMINUIDOS VISUALES""";RAFAELA;3786;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1407;6;1;LUN. A SAB.;14-feb-01;75;11-oct-11;;03-sep-01;04-Apr-11;04-Apr-13
"CENTRO CULTURAL DE JYP ""NUESTRA SEÑORA DE LOS BUENOS AIRES""";PAYSANDU;1221;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1416;6;6;LU A VIE 9 A 20;30-jun-00;290;30-jun-11;;06-sep-01;30-jun-11;30-jun-13
"CTRO SOCIAL PARA LA TERCERA EDAD ""EVA PERON""";GOLETA MANUELITA;L 43;CAPITAL FEDERAL;;1;1439;6;1;S / DATO;21-jun-01;300;30-Dec-09;PIEDRABUENA VIEJO;07-sep-01;29-Dec-11;29-Dec-13
"CENTRO DE LA TERCERA EDAD ""AMIGOS DEL PARQUECITO""";BEAUCHEF;1050;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1424;6;3;LUN. A DOM. 14 A 20 HS.;04-feb-01;160;25-Aug-10;;07-sep-01;03-Apr-10;03-Apr-14
CENTRO DE JYP EL SOLAR DE LOS ABUELOS;SUVIRIA ESQ. 4B;6900;CAPITAL FEDERAL;;1;1439;6;0;LUN. JUEV. SAB.de 17 a 21;15-mar-00;200;30-Aug-06;;27-sep-01;25-feb-06;25-mar-08
"CENTRO DE JYP ""RENE FAVALORO""";RAMON FREIRE;3605;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1430;6;0;MAR. Y JUE. 9/12-18/20 HS;11-sep-01;212;26-feb-10;;12-nov-01;23-oct-09;23-oct-11
"CTRO. DE JYP ""LAS BASES""";WHITE ;1041;CAPITAL FEDERAL;;1;1408;6;0;;15-jun-01;40;15-may-09;;20-nov-01;26-Apr-08;26-Apr-10
"CTRO.DE JYP ""EL PRINCIPIO DEL SER""";CULPINA;75;CAPITAL FEDERAL;;1;1406;6;1;;15-Aug-00;45;02-Aug-10;;20-nov-01;02-Aug-10;02-Aug-12
"CTRO. DE JYP ""SIEMPRE LISTOS""";AV DIRECTORIO ;3302;CAPITAL FEDERAL;;1;1408;6;5;LU A VIE 15/20;20-oct-00;60;24-may-09;;24-Jan-02;17-mar-08;17-mar-10
"CTRO. DE JYP ""ALMA, CORAZON Y VIDA""";NUÑEZ;5641;CAPITAL FEDERAL;;1;1431;6;0;LU A SA DE 14 A 20HS;05-jun-01;40;18-may-07;;18-Apr-02;12-Aug-06;12-Aug-08
"CTRO. DE JYP ""22 DE AGOSTO""";GANDARA;2829;CAPITAL FEDERAL;;1;1416;6;5; L A V 16 A 21;08-feb-01;160;19-Apr-13;;23-Apr-02;25-Aug-12;25-Aug-14
"CTRO DE J Y P ""EL NAZARENO""";MANUELA PEDRAZA;5936;CAPITAL FEDERAL;;1;1431;6;0;MARTES DE 16 A 18;22-may-02;30;08-may-02;;22-may-02;21-Apr-05;21-Apr-08
"CENTRO DE JUBILADOS, PENSIONADOS Y FAMILIA ""VIVENCIA""";JOSE A CABRERA;4115;CAPITAL FEDERAL;;1;1177;6;1;LUNES,VIERNES Y SABADOS;05-Jan-99;210;28-jul-10;;23-may-02;05-Jan-10;05-Jan-15
FED DE CENTROS DE JYP PAMI 9;AV. MONTES DE OCA;1517;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1271;6;0;CADA 15 DIAS;01-oct-01;15;26-jun-06;;27-may-02;06-Apr-11;06-Apr-12
CTRO. DE JYP COMPARTIR LA VIDA;AV. 2 DE ABRIL;1982;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1439;6;5;LUN. A SAB. 17 A 20 HS.;02-feb-02;80;29-Aug-07;;24-jun-02;02-Aug-07;02-Aug-09
"CTRO DE JYP ""A EMPEZAR""";DONADO;833;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1427;6;1;LUN. A SAB. 14 A 20 HS.;15-may-02;300;08-Jan-13;;02-Aug-02;14-nov-12;14-nov-14
"CTRO DE JYP ""PLAZA BROWN""";SOLIS ;2117;CAPITAL FEDERAL;;1;1134;6;1;SIN DATO;02-may-02;130;13-sep-06;;02-Aug-02;10-jul-06;10-jul-08
"CTRO DE J Y P ""LOS AMIGOS DE VERSALLES""";LASCANO ;6888;CAPITAL FEDERAL;;1;1408;6;1;ma j 16 a 19.30 s 18;02-jul-02;62;23-Apr-13;;09-Aug-02;04-Jan-13;04-Jan-15
"CTRO DE JYP ""NORTE Y SUR""";CASTRO BARROS ;355;CAPITAL FEDERAL;;1;1178;6;0;L A V 18;14-jun-02;200;09-oct-12;;20-Aug-02;08-Aug-12;08-Aug-14
"CTRO. DE JYP ""DR. ADOLFO TALOTTI""";HERNANDARIAS;370;CAPITAL FEDERAL;;1;1165;6;5;MAR.JUE.SAB. 15 A 19 HS.;03-may-93;220;09-oct-12;;04-sep-02;31-Aug-12;31-Aug-14
CTRO. DE JYP LOS ABUELOS DE PALERMO;BOMPLAND;2045;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1414;6;0;LUN. A VIE. 12 A 18 HS.;02-jul-02;260;25-Aug-10;;13-sep-02;31-jul-10;31-jul-12
CTRO. DE JYP REFUGIO DE AMIGOS;MENDOZA;2739;CAPITAL FEDERAL;;1;1429;6;0;SIN DATO;10-Aug-01;33;01-sep-06;;13-sep-02;30-jun-06;30-jun-08
"CTRO DE JYP EL ""EL ESFUERZO DE LOS ABUELOS""";PERGAMINO;1045;CAPITAL FEDERAL;;1;1406;6;1;;12-Jan-01;60;10-Aug-05;;30-sep-02;12-nov-10;12-nov-12
CTRO DE J AMIGOS Y VECINOS DE LA PLAZA MARCOS SASTRE;MILLER;2552;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1431;6;0;S/ DATO;18-may-02;34;26-jun-07;;09-oct-02;17-may-07;17-may-09
"CTRO DE JYP ""CENTRO ABUELOS DE VILLA ORTUZAR""";AV. CHORROARIN;1236;CAPITAL FEDERAL;;1;1427;6;0;LU A VI DE 14 A 18HS;29-Dec-01;80;10-feb-12;;18-oct-02;10-feb-12;10-feb-14
"CENTRO DE JYP ""SIEMPRE JUNTOS DE VILLA URQUIZA""";PEDRO I. RIVERA;4673;CAPITAL FEDERAL;;1;1431;6;4;;07-Dec-01;40;29-jun-06;;27-nov-02;10-mar-06;10-mar-08
CENTRO DE JYP. RINCON DE LA ALEGRIA;MORENO;1984;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1094;6;1;L A V 9/20;09-jul-02;200;30-Aug-12;;19-Dec-02;06-jul-12;06-jul-14
CTRO. DE JYP.  SIN  FRONTERAS;PICHINCHA;180;CAPITAL FEDERAL;;1;1081;6;0;lu a vie 15 a 20 hs ;23-Aug-02;100;13-Apr-12;;06-feb-03;14-sep-11;14-sep-13
ASOC.CIVIL CASA DEL VET. DE GUERRA DE LA REP. ARGENTINA;MEXICO;748;CAP. FEDERAL;;1;1097;6;2;;28-nov-83;1500;16-mar-09;;17-oct-01;25-Jan-13;25-Jan-15
CTRO. DE CIVILES VETERANOS DE GUERRA OPERATIVO MALVINAS ASOC. CIVIL;BOLIVAR;382;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1066;6;5;S/ DATO;17-jul-97;350;10-Apr-13;;10-may-11;17-oct-12;17-oct-15
"ASOC. CIVIL ""CTRO. ARGENTINO DE HERIDOS EN MALVINAS""";THAMES;2119;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1425;6;1;S/ DATO;04-nov-97;20;25-mar-13;;25-mar-13;12-Dec-12;12-Dec-16
CTRO DE JUBILADOS LA LUZ DE SILVIA;SARAZA;5564;CAPITAL FEDERAL;;1;1439;6;5;lu a vie 15/18;30-jul-01;150;26-sep-08;;27-feb-03;11-Apr-11;11-Apr-13
CTRO. DE JYP. PAMPERO;LARRAZABAL ;3035;CAPITAL FEDERAL;;1;1439;6;5;L Y V 18 A 20 HS;09-may-02;800;03-jun-13;;03-mar-03;30-nov-12;30-nov-14
CTRO. DE JYP. DESDE EL ALMA;SANABRIA;3333;CAPITAL FEDERAL;;1;1417;6;0;;02-Apr-01;350;03-jun-13;;04-mar-03;04-Apr-13;04-Apr-15
CTRO DE JYP. ANTU;FONROUNGE ;24;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1404;6;1;LU A VI 9/12-15/20 HS;09-sep-02;200;19-Jan-09;;05-mar-03;20-nov-08;20-nov-10
CTRO. DE J, P, Y RET. UNIDAD;"AV ENTRE RIOS (11º ""B"")";1243;CAPITAL FEDERAL;;1;1133;6;0;;14-feb-03;50;24-jul-06;;22-Apr-03;31-mar-06;31-mar-09
"CTRO DE JYP ""RENOVACION""";LARREA;784;CAPITAL FEDERAL;;1;1030;6;0;L/M/V 16/18 MA/J 16/19,30;01-Apr-03;650;08-jul-13;;05-jun-03;28-may-13;30-may-15
"CTRO DE JYP ""LA FABRICA """;AV VARELA;507;CAPITAL FEDERAL;;1;1406;6;5;LU A SA DE 10 A 19HS;02-Dec-02;200;29-Dec-11;;11-jun-03;14-nov-11;14-nov-13
"CTRO DE JYP ""OCTUBRE""";BARTOLOME MITRE;1849;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1444;6;0;S/ DATO;17-mar-03;150;30-may-11;;18-jun-03;20-mar-13;21-mar-15
"CTRO DE JYP ""UNION RECREATIVA PARQUE SAAVEDRA""";garcia del rio;3369;CAPITAL FEDERAL;;1;1429;6;3;;20-mar-03;120;07-jul-09;;18-jun-03;18-jul-09;01-jul-11
"CÍRCULO DE JUBILADOS ""AMIGOS DE COLEGIALES""";FREIRE;190;CAPITAL FEDERAL;;1;1426;6;7;TODOS LOS DIAS 13 A 20 HS;10-Aug-95;79;27-sep-11;;22-jul-03;26-nov-10;26-nov-13
"CTRO DE JYP ""NUEVO RENACER""";RONDEAU ;3199;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1243;6;1;LUN. A VIE. 15 A 20 HS.;22-may-03;80;29-Dec-11;;18-sep-03;31-oct-11;31-oct-13
"CTRO. DE JYP ""AMIGOS Y ABUELOS DEL BARRIO""";OLIDEN;2819;CAPITAL FEDERAL;;1;1439;6;0;;19-jul-99;100;11-oct-11;;22-sep-03;28-Dec-12;28-Dec-14
"CENTRO DE JYP ""MANUEL MONASTERIO""";CRISOSTOMO ALVAREZ ;2780;CAPITAL FEDERAL;;1;1406;6;1;LU A SAB 10 A 19 HS;02-Dec-02;100;20-Jan-09;;23-sep-03;10-Jan-08;10-Jan-12
CTRO. DE JYP A.T.I.L.R.A. SECCIONAL CAPITAL;CASTRO;1471;CAPITAL FEDERAL;;1;1237;6;7;    LU A VI .;18-nov-87;60;17-Dec-09;;24-sep-03;17-Dec-09;17-Dec-12
"CTRO DE JYP "" UNA LUZ DE AMISTAD""";OCIDEN;2819;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1439;6;1;LU A VIE;12-Aug-03;250;15-Dec-09;;10-oct-03;15-Dec-09;15-Dec-11
"CTRO DE JYP ""EL REFUGIO DE ALMAGRO""";YAPEYU;642;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1216;6;0;LUN.MAR.JUE.VIE.16/19 HS.;14-feb-03;625;09-Jan-13;;13-nov-03;15-Dec-12;15-Dec-15
"CTRO DE JYP ""DOÑA ROSA""";PICHINCHA;1763;CAPITAL FEDERAL;;1;1134;6;9;;17-Aug-03;39;12-jun-06;;19-nov-03;20-nov-11;20-nov-13
FEDERACION CENTROS INTEGRADOS DEL NOROESTE CAPITALINO (C.I.N.O.C.);ARREGUI;6013;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1408;6;5;JUEVES POR  MEDIO;02-sep-00;11;28-nov-06;;15-Dec-03;27-sep-06;27-sep-08
"CTRO. DE JYP ""EL NOGAL""";RAWSON ;271;CAPITAL FEDERAL;;1;1186;6;5;LU-MI-VI 14 A 20 HS;06-jul-03;60;23-jul-13;;15-Dec-03;13-jun-13;13-jun-15
"CTRO. DE JYP ""PEPITO IGLESIAS""";ZAPIOLA;1319;CAPITAL FEDERAL;;1;1426;6;0;MAR JUEV 13:30 17:00;12-Aug-03;150;19-jul-12;;15-Dec-03;08-feb-12;08-feb-14
"CTRO DE JYP ""18 DE OCTUBRE""";SAYOS  ;5733;CAPITAL FEDERAL;;1;1439;6;1;LU A VI 17/20;20-Dec-03;200;27-nov-12;;15-Jan-04;19-jul-12;19-jul-14
"CENTRO DE JYP ""AGRUP COMUNIT Y  VOLUNT HOSPITAL ENRIQUE TORNU""";LLERENA ;2658;CAPITAL FEDERAL;;1;1427;6;0;MIE Y VIE 14 A 17 HS.;07-may-98;121;14-Aug-06;;20-Jan-04;15-feb-06;15-feb-09
ASOC. CIVIL.CJYP AGRUP. 8 DE FEBRERO J.P.S. PAMI C.T.A. CAPITAL FEDERAL;CARLOS CALVO;2365;CAPITAL FEDERAL;;1;1230;6;0;LUN. DE 15 A 18HS;08-feb-02;130;13-nov-06;;06-feb-04;08-sep-06;08-sep-10
FEDERACION DEL SUR;PARAGUAY;4661;CAPITAL FEDERAL;CAPITAL FEDERAL;1;1425;6;0;;01-Apr-03;3;13-oct-09;;09-feb-04;18-mar-09;18-mar-11
"CENTRO DE JYP ""JUNTOS PODEMOS HACER""";BARROS PAZOS;6526;CAPITAL FEDERAL;;1;1439;6;1;LU A SA 9:30 A 19 HS.;02-feb-03;300;17-oct-11;;26-may-04;09-sep-11;31-Dec-13
"CTRO. DE JYP ""COLOR ESPERANZA DE FLORES""";RAMON FALCON ;2753;CAPITAL FEDERAL;;1;1406;6;9;;26-jul-03;60;29-jun-06;;27-may-04;11-feb-06;11-feb-08
"CTRO DE JYP ""DESPERTARES""";AV.SOLDADO DE LA FRONTERA;5530;CAPITAL FEDERAL;;1;1439;6;9;;05-Apr-04;123;08-jul-13;;02-jun-04;28-feb-13;28-feb-15
